Hindi Words,English Words
मैदान,plain
चमकना,shine
काफ़ीहाउस,cafeteria
खुशी से उछलना,beam
अस्तित्व,exist
बरामदा,porch
रानी,queen
चिल्लाहट,squeal
आस्था,faith
प्रवेश करना,pierce
टिप्पणी,remark
संतुष्ट,content
आराम,ease
झटका,flick
मॉल,mall
नही सकता,cannot
कालीन,carpet
लंबाई,length
बदलना,replace
बत्तख,duck
उभार,bump
सामान्य,common
शैली,style
टैन,tan
केक,cake
अदालत,court
पहले का,previous
संतुलन,balance
किनारा,bank
अंधा,blind
खतरनाक,dangerous
विशिष्ट,particular
बेचना,sell
लिखा,wrote
विचलित,distract
पिघलना,melt
लोकप्रिय,popular
सामाजिक,social
पढ़ाना,teach
उपस्थिति,appearance
सही,correct
झील,lake
जनता,public
व्यंग्य से,sarcastically
अपराधी,guilty
एक तरह का,kinda
करेगा,shall
टेलीविजन,television
नाव,boat
दृढ़ता से,firmly
तंबू,tent
अँगूठा,thumb
तरीका,manner
लालिमा,flush
छत,roof
अनुसूची,schedule
डाइन,dine
मौसम,weather
संयोग से,casually
चंद्रमा,moon
अंतर,difference
बट,butt
आकर्षण,charm
खिलाना,feed
निराशा,frustration
सज्जन,gentle
अंकुश,hook
उछलना,bounce
विशेष रूप से,particularly
आनंद,pleasure
उचक्का,sneak
नेता,leader
क्रोध,rage
कटकट,shriek
कष्ट सहना,suffer
रविवार,Sunday
तर्क,argument
गर्भवती,pregnant
चर्चा करना,discuss
कथन,statement
टिकट,ticket
खोदना,dig
गुड़िया,doll
ठंड,chill
बाड़,fence
डरावना,horror
बनाना,built
पुलिस,cop
सुरक्षा,security
फ़ुटपाथ,sidewalk
स्तन,breast
परदा,curtain
किसको,whom
पचास,fifty
बहुत बड़ा,giant
दूध,milk
याद करना,recall
अवधि,term
क़दम,footstep
अचेत,stun
टक,tuck
कपड़े,clothing
चाटना,lick
आनंद,joy
कुरूप,ugly
उम्मीद है,hopefully
सैनिक,soldier
निवेदन,plead
टकरा गया,struck
जाल,trap
राय,opinion
बहुत,plenty
टैंक,tank
समीर,breeze
बहुत बढ़िया,awesome
इच्छा,desire
रहनेवाला,roommate
आधे रास्ते,halfway
अवसर,opportunity
पोशाक,outfit
खुरदुरा,rough
नहीं है,ain't
सुंदरता,beauty
चुना,chose
साँप,snake
फीता,tape
बुरी तरह,badly
धोखा,cheat
पापा,daddy
गर्जन,roar
वर्णन करना,describe
सख्त,desperately
ऊंचाई,height
जाँघ,thigh
नत,tilt
गहरा,deeply
दोस्ती,friendship
सर्दी,winter
चुड़ैल,witch
पहना हुआ,worn
स्थिति,condition
दुश्मन,enemy
स्वर्ण,golden
सोफ़ा,sofa
मालिक,master
अशिष्ट,rude
लगातार,throughout
आश्वासन,assure
आघात,damage
प्राकृतिक,natural
चुराना,steal
बेल्ट,belt
पिंजरा,cage
दावा,claim
बुरा अनुभव,nightmare
पसंद करना,prefer
उद्देश्य,purpose
केवल,merely
नत्थी करना,pin
फ्रांसीसी,French
अफसोस की बात है,sadly
वर्दी,uniform
शाखा,branch
प्रत्यक्ष,direct
शिकारी,hunter
रस,juice
चरित्र,character
शुद्ध,pure
धब्बा,stain
विभिन्न,various
पाना,gain
डुबाना,soak
हाल तक,lately
आवाज़ का उतार-चढ़ाव,pitch
लहज़ा,accent
वे,they've
घबराना,tremble
केबिन,cabin
चबाना,chew
भौतिक,physical
पहेली,puzzle
विस्फोट,explode
नियमित,steady
कैसे,how's
पालतू,pet
कारण,sake
तुलना करना,compare
प्रधान अध्यापक,principal
स्कैन,scan
चालीस,forty
छाप,impress
मानसिक रूप से,mentally
प्रतिक्रिया,react
सैंडविच,sandwich
शर्मीला,shy
बारह,twelve
जबकि,whilst
गोली,bullet
चुनौती,challenge
आज्ञा,command
परीक्षण करना,examine
पतली परत,film
प्रशंसा करना,appreciate
तनावग्रस्त,tense
खाली,blank
फूंका,blew
लड़ा,fought
जिम,gym
यात्री,passenger
किशोर,teenager
व्यंजन,dish
अनिर्णित,drawn
डरावना,scary
भिन्न,unlike
सीधा,straighten
छानना,strain
तराना,tune
निरंतर,constantly
प्रसिद्ध,famous
शादी,marriage
अवश्यंभावी,bound
कल्पना,fancy
मुद्दा,issue
गरमाहट,warmth
कुछ समय,awhile
इकट्ठा करना,collect
ध्यान केंद्रित करना,concentrate
कॉपी,copy
नास्तिकता,disbelief
कस,tighten
ठानना,determine
कृपादृष्टि,favor
मानसिक,mental
झाड़ी,bush
क्षमा करना,forgive
उद्देश्य,aim
अंगीकार करना,embrace
अच्छी तरह से,fairly
फ़्रीज़,froze
अपमान करना,insult
विकल्प,option
डाक,post
प्रतिरोध करना,resist
बोली जाने,spoken
सेब,apple
आम,general
तुरंत,instant
जीप,jeep
उभरना,emerge
पड़ोसी,neighbor
दबाव,pressure
सेवा,service
मिश्रण,shuffle
संक्षिप्त,briefly
स्मरण पुस्तक,notebook
शांति,peace
डोरी,string
शराब,wine
थोड़ा सा,dash
आंत,gut
तनाव,stress
जोड़ना,connect
भाषा,language
निजी,private
वसंत,spring
टुकड़ा,chip
कुत्ते का पिल्ला,puppy
दर्द,ache
निराश,desperate
आदत,habit
ज़रूरी,necessary
नहीं,nope
पेंसिल,pencil
संतुष्ट करना,satisfy
अस्वीकार करना,deny
माँ,mommy
नज़रिया,attitude
डायल,dial
दर्दनाक,painful
दिखाना,display
हताश,frustrate
यह होगा,it'd
झुकाव होना,tend
एकदम सही,exact
ताकतवर,powerful
प्रकृति,nature
तस्वीर,photo
कुल,total
वीडियो,video
अंडा,egg
घटित होना,occur
कोई,anybody
गलियारे,corridor
घूंट,gulp
पता लगाना,trace
कोई भी हो,whoever
संक्षिप्त,brief
थका देना,exhaust
एक प्रकार की मछली,pout
ख़ौफ़ में डालना,terrify
अध्याय,chapter
पागल,insane
बोलना,spell
निश्चित रूप से,surely
ट्रे,tray
अल्कोहल,alcohol
ज़ंजीर,chain
पहनावा,fashion
गराज,garage
एंक्वाइयर,inquire
कैंडी,candy
समान,similar
कुत्ते की भौंक,bark
इश्कबाज़ी करना,flirt
दयनीय,pathetic
आपूर्ति,supply
मीनार,tower
इंजन,engine
जमा हुआ,frozen
नक्शा,map
शौचालय,toilet
पृष्ठभूमि,background
कंपकंपी,shudder
मकड़ी,spider
वयस्क,adult
सस्ता,cheap
संकेत,clue
अखरोट,hazel
चिढ़ना,irritate
रेत,sand
चौथाई,quarter
अतिरिक्त,spare
अमेरिकन,American
छुटकारा दिलाना,rid
झगड़ा,spat
मटका,pot
भयंकर,awful
ब्लीड,bleed
भाग्य,fate
जोग,jog
हड़ताल,strike
मुंह बनाना,grimace
छुट्टी,holiday
सीटी,whistle
समझौता,agreement
उदासीन,dull
महँगा,expensive
छीन,snatch
कभी अ,sometime
क्षमता,ability
कैंपस,campus
गले का पट्टा,collar
परेशान करना,disturb
झिलमिलाहट,flicker
आगे बढ़ना,proceed
हाल ही में,recently
जोखिम,risk
कौशल,skill
विषय,topic
रक्षा,defense
तलना,fry
किस्मत से,luckily
करारा जवाब,retort
कप्तान,captain
खाया,eaten
दस्ताना,glove
मध्य,mid
मालिक,owner
पनीर,cheese
झटका,yank
इसके बाद,afterward
निकट से,closely
प्रशिक्षक,coach
पंख,feather
आकर्षक,handsome
न्यूयॉर्क,New York
दया,pity
संकेत,signal
सूंघना,sniff
पट्टा,strap
रोकना,contain
जीवित बचना,survive
स्वेटर,sweater
पश्चिम,west
दराज,drawer
छलाँग,leap
प्रमुख,major
तिरछी,peek
संदिग्ध व्यक्ति,suspect
यात्रा,tour
जमाना,freeze
स्वर्ग,heaven
नकाब,mask
हैरानी की बात है,surprisingly
एकाएक,abruptly
शुरू कर दिया,begun
ग्राहक,customer
तकती,pad
डिज़ाइन,design
फ्लॉप,flop
गर्व,pride
हां,yep
साक्षात्कार,interview
पूरा करना,makeup
धमाका,blast
राजकुमार,prince
रोडे,rode
बुलबुला,bubble
किराया,rent
किशोर,teen
