,Hindi Words,English Words
1287,चाहेंगे गए,would've
1288,अतिरिक्त,extra
1289,हाव-भाव,gesture
1290,भ्रूभंग,scowl
1291,बीयर,beer
1292,मुक्त करना,release
1293,देश,country
1294,अफ़सर,officer
1295,सावधान,careful
1296,बनाएं,create
1297,पहाड़,hill
1298,फक-फक करना,snort
1299,उड़ गया,flew
1300,एड़ी,heel
1301,भौंह,brow
1302,शुल्क,charge
1303,समतल,flat
1304,प्लस,plus
1305,बदलना,switch
1306,जब कभी भी,whenever
1307,अभिप्राय,drift
1308,धातु,metal
1309,खोज करना,discover
1310,पहिया,wheel
1311,स्कर्ट,skirt
1312,थपथपाना,pat
1313,खाया,ate
1314,चाय,tea
1315,होटल,hotel
1316,एसओबी,sob
1317,भविष्य,future
1318,अभिलेख,record
1319,गाड़ी की डिक्की,boot
1320,संभावित,likely
1321,खुश करना,cheer
1322,सोना,gold
1323,सिद्ध करना,prove
1324,हा,ha
1325,दो बार,twice
1326,अवगत,aware
1327,कमी,lack
1328,राजकुमारी,princess
1329,बेंच,bench
1330,चचेरा,cousin
1331,विवरण,detail
1332,मात्रा,amount
1333,चिड़िया,bird
1334,पिछड़ा,backward
1335,कुचलना,crush
1336,सिगरेट,cigarette
1337,बेहोश होना,faint
1338,संबंधित होना,belong
1339,अजनबी,stranger
1340,समुद्र तट,beach
1341,भार,load
1342,हर जगह,everywhere
1343,खरोंचना,scratch
1344,इतिहास,history
1345,रेस्टोरेंट,restaurant
1346,आयोजन,event
1347,अत्यंत,extremely
1348,चौड़ा,widen
1349,क्लच,clutch
1350,देय,due
1351,टग,tug
1352,आगे,beyond
1353,आनंद से,happily
1354,गलती,mistake
1355,हथेली,palm
1356,मन बहलाना,amuse
1357,अतिथि,guest
1358,शनिवार,Saturday
1359,लकड़ी का,wooden
1360,बहुत बुरा,worst
1361,बाहर निकलना,exit
1362,प्लास्टिक,plastic
1363,असलियत,reality
1364,झिझक,wince
1365,की घोषणा,announce
1366,पड़ेगा,gotta
1367,सो गए,slept
1368,शंख,she'll
1369,सदस्य,member
1370,चुनना,choose
1371,डॉ।,Dr.
1372,तैरना,swim
1373,खतरे की घंटी,alarm
1374,घुटनों के बल चलना,crawl
1375,डॉलर,dollar
1376,चाकू,knife
1377,जादू,magic
1378,चुकाया गया,paid
1379,पिज़्ज़ा,pizza
1380,बटुआ,purse
1381,उपहार,gift
1382,मुर्गा,chicken
1383,विमान,plane
1384,गला घोंटना,choke
1385,पेंच,screw
1386,विरोध करना,protest
1387,आधार,base
1388,दवाई,drug
1389,परिचय देना,introduce
1390,आस्तीन,sleeve
1391,आंदोलन,movement
1392,ढीला,loose
1393,नंगा,bare
1394,चाहना,wanna
1395,कठिन,difficult
1396,चौखटा,frame
1397,घुमाना,spin
1398,नकली,fake
1399,कलम,pen
1400,समझा,understood
1401,और न,nor
1402,दुर्भाग्य से,unfortunately
1403,लिखा हुआ,written
1404,फ़ैसला,decision
1405,निवेदन करना,beg
1406,भारी,heavily
1407,आग्रह करना,insist
1408,आत्मा,soul
1409,अनियमित,random
1410,खेल,sport
1411,नर,male
1412,प्रबल इच्छा,urge
1413,दस लाख,million
1414,जम्हाई लेना,yawn
1415,बैग,backpack
1416,न्यायाधीश,judge
1417,डराना,startle
1418,गुच्छा,bunch
1419,धारा,stream
1420,वे हूँ,they'll
1421,माँसपेशियाँ,muscle
1422,गज,yard
1423,दुर्घटना,accident
1424,अजगर,dragon
1425,वाक्य,sentence
1426,मूर्ख,fool
1427,फटा हुआ,torn
1428,झुकना,bow
1429,गूंज,echo
1430,मिक्स,mix
1431,दफ़नाना,bury
1432,प्रणाली,system
1433,गंध,dirt
1434,आत्मा,spirit
1435,पत्ता,leaf
1436,रक्षा करना,protect
1437,पंक्ति,row
1438,आगे,forth
1439,बैंगनी,purple
1440,टकराना,bang
1441,जिज्ञासु,curious
1442,आस-पास,nearby
1443,कहीं भी नहीं,nowhere
1444,गिर जाना,collapse
1445,कूदना,hop
1446,गर्व,proud
1447,विंग,wing
1448,नष्ट करना,destroy
1449,समुद्र,sea
1450,अलग,separate
1451,नासमझ,silly
1452,घाव,wound
1453,ईमानदार,honest
1454,युद्ध,battle
1455,जन्म,born
1456,खाँसी,cough
1457,पर्वत,mountain
1458,विभाजित करना,split
1459,वर्ग,square
1460,नीचे,underneath
1461,बाइक,bike
1462,प्रक्रिया,process
1463,कोई व्यक्ति,somebody
1464,कक्षा,classroom
1465,उपस्थिति,presence
1466,किसका,whose
1467,ग्रोन,grown
1468,छिपा हुआ,hidden
1469,सेवा करना,serve
1470,महिला,female
1471,बगीचा,garden
1472,खाना,meal
1473,अक्षम,unable
1474,कोहनी,elbow
1475,सहायता,support
1476,पुल,bridge
1477,प्रतिक्रिया,reaction
1478,छोडना,skip
1479,जंगली,wild
1480,गुस्से से,angrily
1481,प्रभाव,effect
1482,धमकी देना,threaten
1483,मूल रूप से,basically
1484,एक प्रकार का जहाज़,smack
1485,आघात,stroke
1486,प्रवाह,flow
1487,विलाप,moan
1488,पौधा,plant
1489,असंभव,impossible
1490,चोट,bruise
1491,निराश,disappoint
1492,ऊर्जा,energy
1493,छोड़ना,relieve
1494,उलझन,confusion
1495,शादी,wedding
1496,मोटा,fat
1497,बिल,bill
1498,छैला,dude
1499,पता,address
1500,ढालना,cast
1501,नंगा,naked
1502,खिलौने,toy
1503,गणित,math
1504,निजी,personal
1505,जहाज,ship
1506,काता,spun
1507,बात करना,chat
1508,प्रार्थना,pray
1509,कोड़ा,whip
1510,पकड़,grasp
1511,नहीं है,hasn't
1512,तैरना,float
1513,पूरी तरह,fully
1514,भव्य,gorgeous
1515,वास्तव में,indeed
1516,नाखून,nail
1517,दृष्टि,vision
1518,मासूम,innocent
1519,दोस्ताना,friendly
1520,ईर्ष्या,jealous
1521,आ गया,swung
1522,ज्योति,flame
1523,छात्रावास,dorm
1524,सड़क,driveway
1525,फैल,spill
1526,गिरोह,gang
1527,हत्या,murder
1528,आदर,respect
1529,झुका हुआ,bent
1530,पूँछ,tail
1531,सूचित करना,inform
1532,पाठ,lesson
1533,कराहना,whine
1534,अंतिम रूप से तय,clench
1535,उत्तेजना,excitement
1536,पुस्तकालय,library
1537,भगवान,lord
1538,सतह,surface
1539,धूल,dust
1540,गंदी जगह,dump
1541,विशेषता,feature
1542,वस्तु,object
1543,हथियार,weapon
1544,शांति से,calmly
1545,संकोच करना,hesitate
1546,संकेत देना,hint
1547,कानून,law
1548,पत्रिका,magazine
1549,के बीच,among
1550,रोब जमाना,boss
1551,फ़ाइल,file
1552,चमड़ा,leather
1553,परिणाम,result
1554,फेंक दिया,thrown
1555,पैर की अंगुली,toe
1556,भयानक,terrible
1557,स्थानीय,local
1558,परियोजना,project
1559,जीत गया,won
1560,रेडियो,radio
1561,खेद,regret
1562,बड़बड़ाना,grumble
1563,अन्यथा,otherwise
1564,हास्यास्पद,ridiculous
1565,सीडी,CD
1566,प्यारा,lovely
1567,दिखावटी,mock
1568,कोशिश,effort
1569,पंखा,fan
1570,नस,nerve
1571,प्रतिवेदन,report
1572,छोटी दुकान,stall
1573,लिफ़्ट,elevator
1574,साथी,mate
1575,हरामी,bastard
1576,असंतोष का शब्द,grunt
1577,ओ क्लॉक,o'clock
1578,रस्सी,rope
1579,पूरी तरह से,entirely
1580,डराना,frighten
1581,छाया,shade
1582,ताकत,strength
1583,हड्डी,bone
1584,अदला-बदली,exchange
1585,उड़ान,flight
1586,सोमवार,Monday
1587,साझेदार,partner
1588,मैदान,plain
1589,चमकना,shine
1590,काफ़ीहाउस,cafeteria
1591,खुशी से उछलना,beam
1592,अस्तित्व,exist
1593,बरामदा,porch
1594,रानी,queen
1595,चिल्लाहट,squeal
1596,आस्था,faith
1597,प्रवेश करना,pierce
1598,टिप्पणी,remark
1599,संतुष्ट,content
1600,आराम,ease
1601,झटका,flick
1602,मॉल,mall
1603,नही सकता,cannot
1604,कालीन,carpet
1605,लंबाई,length
1606,बदलना,replace
1607,बत्तख,duck
1608,उभार,bump
1609,सामान्य,common
1610,शैली,style
1611,टैन,tan
1612,केक,cake
1613,अदालत,court
1614,पहले का,previous
1615,संतुलन,balance
1616,किनारा,bank
1617,अंधा,blind
1618,खतरनाक,dangerous
1619,विशिष्ट,particular
1620,बेचना,sell
1621,लिखा,wrote
1622,विचलित,distract
1623,पिघलना,melt
1624,लोकप्रिय,popular
1625,सामाजिक,social
1626,पढ़ाना,teach
1627,उपस्थिति,appearance
1628,सही,correct
1629,झील,lake
1630,जनता,public
1631,व्यंग्य से,sarcastically
1632,अपराधी,guilty
1633,एक तरह का,kinda
1634,करेगा,shall
1635,टेलीविजन,television
1636,नाव,boat
1637,दृढ़ता से,firmly
1638,तंबू,tent
1639,अँगूठा,thumb
1640,तरीका,manner
1641,लालिमा,flush
1642,छत,roof
1643,अनुसूची,schedule
1644,डाइन,dine
1645,मौसम,weather
1646,संयोग से,casually
1647,चंद्रमा,moon
1648,अंतर,difference
1649,बट,butt
1650,आकर्षण,charm
1651,खिलाना,feed
1652,निराशा,frustration
1653,सज्जन,gentle
1654,अंकुश,hook
1655,उछलना,bounce
1656,विशेष रूप से,particularly
1657,आनंद,pleasure
1658,उचक्का,sneak
1659,नेता,leader
1660,क्रोध,rage
1661,कटकट,shriek
1662,कष्ट सहना,suffer
1663,रविवार,Sunday
1664,तर्क,argument
1665,गर्भवती,pregnant
1666,चर्चा करना,discuss
1667,कथन,statement
1668,टिकट,ticket
1669,खोदना,dig
1670,गुड़िया,doll
1671,ठंड,chill
1672,बाड़,fence
1673,डरावना,horror
1674,बनाना,built
1675,पुलिस,cop
1676,सुरक्षा,security
1677,फ़ुटपाथ,sidewalk
1678,स्तन,breast
1679,परदा,curtain
1680,किसको,whom
1681,पचास,fifty
1682,बहुत बड़ा,giant
1683,दूध,milk
1684,याद करना,recall
1685,अवधि,term
1686,क़दम,footstep
1687,अचेत,stun
1688,टक,tuck
1689,कपड़े,clothing
1690,चाटना,lick
1691,आनंद,joy
1692,कुरूप,ugly
1693,उम्मीद है,hopefully
1694,सैनिक,soldier
1695,निवेदन,plead
1696,टकरा गया,struck
1697,जाल,trap
1698,राय,opinion
1699,बहुत,plenty
1700,टैंक,tank
1701,समीर,breeze
1702,बहुत बढ़िया,awesome
1703,इच्छा,desire
1704,रहनेवाला,roommate
1705,आधे रास्ते,halfway
1706,अवसर,opportunity
1707,पोशाक,outfit
1708,खुरदुरा,rough
1709,नहीं है,ain't
1710,सुंदरता,beauty
1711,चुना,chose
1712,साँप,snake
1713,फीता,tape
1714,बुरी तरह,badly
1715,धोखा,cheat
1716,पापा,daddy
1717,गर्जन,roar
1718,वर्णन करना,describe
1719,सख्त,desperately
1720,ऊंचाई,height
1721,जाँघ,thigh
1722,नत,tilt
1723,गहरा,deeply
1724,दोस्ती,friendship
1725,सर्दी,winter
1726,चुड़ैल,witch
1727,पहना हुआ,worn
1728,स्थिति,condition
1729,दुश्मन,enemy
1730,स्वर्ण,golden
1731,सोफ़ा,sofa
1732,मालिक,master
1733,अशिष्ट,rude
1734,लगातार,throughout
1735,आश्वासन,assure
1736,आघात,damage
1737,प्राकृतिक,natural
1738,चुराना,steal
1739,बेल्ट,belt
1740,पिंजरा,cage
1741,दावा,claim
1742,बुरा अनुभव,nightmare
1743,पसंद करना,prefer
1744,उद्देश्य,purpose
1745,केवल,merely
1746,नत्थी करना,pin
1747,फ्रांसीसी,French
1748,अफसोस की बात है,sadly
1749,वर्दी,uniform
1750,शाखा,branch
1751,प्रत्यक्ष,direct
1752,शिकारी,hunter
1753,रस,juice
1754,चरित्र,character
1755,शुद्ध,pure
1756,धब्बा,stain
1757,विभिन्न,various
1758,पाना,gain
1759,डुबाना,soak
1760,हाल तक,lately
1761,आवाज़ का उतार-चढ़ाव,pitch
1762,लहज़ा,accent
1763,वे,they've
1764,घबराना,tremble
1765,केबिन,cabin
1766,चबाना,chew
1767,भौतिक,physical
1768,पहेली,puzzle
1769,विस्फोट,explode
1770,नियमित,steady
1771,कैसे,how's
1772,पालतू,pet
1773,कारण,sake
1774,तुलना करना,compare
1775,प्रधान अध्यापक,principal
1776,स्कैन,scan
1777,चालीस,forty
1778,छाप,impress
1779,मानसिक रूप से,mentally
1780,प्रतिक्रिया,react
1781,सैंडविच,sandwich
1782,शर्मीला,shy
1783,बारह,twelve
1784,जबकि,whilst
1785,गोली,bullet
1786,चुनौती,challenge
1787,आज्ञा,command
1788,परीक्षण करना,examine
1789,पतली परत,film
1790,प्रशंसा करना,appreciate
1791,तनावग्रस्त,tense
1792,खाली,blank
1793,फूंका,blew
1794,लड़ा,fought
1795,जिम,gym
1796,यात्री,passenger
1797,किशोर,teenager
1798,व्यंजन,dish
1799,अनिर्णित,drawn
1800,डरावना,scary
1801,भिन्न,unlike
1802,सीधा,straighten
1803,छानना,strain
1804,तराना,tune
1805,निरंतर,constantly
1806,प्रसिद्ध,famous
1807,शादी,marriage
1808,अवश्यंभावी,bound
1809,कल्पना,fancy
1810,मुद्दा,issue
1811,गरमाहट,warmth
1812,कुछ समय,awhile
1813,इकट्ठा करना,collect
1814,ध्यान केंद्रित करना,concentrate
1815,कॉपी,copy
1816,नास्तिकता,disbelief
1817,कस,tighten
1818,ठानना,determine
1819,कृपादृष्टि,favor
1820,मानसिक,mental
1821,झाड़ी,bush
1822,क्षमा करना,forgive
1823,उद्देश्य,aim
1824,अंगीकार करना,embrace
1825,अच्छी तरह से,fairly
1826,फ़्रीज़,froze
1827,अपमान करना,insult
1828,विकल्प,option
1829,डाक,post
1830,प्रतिरोध करना,resist
1831,बोली जाने,spoken
1832,सेब,apple
1833,आम,general
1834,तुरंत,instant
1835,जीप,jeep
1836,उभरना,emerge
1837,पड़ोसी,neighbor
1838,दबाव,pressure
1839,सेवा,service
1840,मिश्रण,shuffle
1841,संक्षिप्त,briefly
1842,स्मरण पुस्तक,notebook
1843,शांति,peace
1844,डोरी,string
1845,शराब,wine
1846,थोड़ा सा,dash
1847,आंत,gut
1848,तनाव,stress
1849,जोड़ना,connect
1850,भाषा,language
1851,निजी,private
1852,वसंत,spring
1853,टुकड़ा,chip
1854,कुत्ते का पिल्ला,puppy
1855,दर्द,ache
1856,निराश,desperate
1857,आदत,habit
1858,ज़रूरी,necessary
1859,नहीं,nope
1860,पेंसिल,pencil
1861,संतुष्ट करना,satisfy
1862,अस्वीकार करना,deny
1863,माँ,mommy
1864,नज़रिया,attitude
1865,डायल,dial
1866,दर्दनाक,painful
1867,दिखाना,display
1868,हताश,frustrate
1869,यह होगा,it'd
1870,झुकाव होना,tend
1871,एकदम सही,exact
1872,ताकतवर,powerful
1873,प्रकृति,nature
1874,तस्वीर,photo
1875,कुल,total
1876,वीडियो,video
1877,अंडा,egg
1878,घटित होना,occur
1879,कोई,anybody
1880,गलियारे,corridor
1881,घूंट,gulp
1882,पता लगाना,trace
1883,कोई भी हो,whoever
1884,संक्षिप्त,brief
1885,थका देना,exhaust
1886,एक प्रकार की मछली,pout
1887,ख़ौफ़ में डालना,terrify
1888,अध्याय,chapter
1889,पागल,insane
1890,बोलना,spell
1891,निश्चित रूप से,surely
1892,ट्रे,tray
1893,अल्कोहल,alcohol
1894,ज़ंजीर,chain
1895,पहनावा,fashion
1896,गराज,garage
1897,एंक्वाइयर,inquire
1898,कैंडी,candy
1899,समान,similar
1900,कुत्ते की भौंक,bark
1901,इश्कबाज़ी करना,flirt
1902,दयनीय,pathetic
1903,आपूर्ति,supply
1904,मीनार,tower
1905,इंजन,engine
1906,जमा हुआ,frozen
1907,नक्शा,map
1908,शौचालय,toilet
1909,पृष्ठभूमि,background
1910,कंपकंपी,shudder
1911,मकड़ी,spider
1912,वयस्क,adult
1913,सस्ता,cheap
1914,संकेत,clue
1915,अखरोट,hazel
1916,चिढ़ना,irritate
1917,रेत,sand
1918,चौथाई,quarter
1919,अतिरिक्त,spare
1920,अमेरिकन,American
1921,छुटकारा दिलाना,rid
1922,झगड़ा,spat
1923,मटका,pot
1924,भयंकर,awful
1925,ब्लीड,bleed
1926,भाग्य,fate
1927,जोग,jog
1928,हड़ताल,strike
1929,मुंह बनाना,grimace
1930,छुट्टी,holiday
1931,सीटी,whistle
1932,समझौता,agreement
1933,उदासीन,dull
1934,महँगा,expensive
1935,छीन,snatch
1936,कभी अ,sometime
1937,क्षमता,ability
1938,कैंपस,campus
1939,गले का पट्टा,collar
1940,परेशान करना,disturb
1941,झिलमिलाहट,flicker
1942,आगे बढ़ना,proceed
1943,हाल ही में,recently
1944,जोखिम,risk
1945,कौशल,skill
1946,विषय,topic
1947,रक्षा,defense
1948,तलना,fry
1949,किस्मत से,luckily
1950,करारा जवाब,retort
1951,कप्तान,captain
1952,खाया,eaten
1953,दस्ताना,glove
1954,मध्य,mid
1955,मालिक,owner
1956,पनीर,cheese
1957,झटका,yank
1958,इसके बाद,afterward
1959,निकट से,closely
1960,प्रशिक्षक,coach
1961,पंख,feather
1962,आकर्षक,handsome
1963,न्यूयॉर्क,New York
1964,दया,pity
1965,संकेत,signal
1966,सूंघना,sniff
1967,पट्टा,strap
1968,रोकना,contain
1969,जीवित बचना,survive
1970,स्वेटर,sweater
1971,पश्चिम,west
1972,दराज,drawer
1973,छलाँग,leap
1974,प्रमुख,major
1975,तिरछी,peek
1976,संदिग्ध व्यक्ति,suspect
1977,यात्रा,tour
1978,जमाना,freeze
1979,स्वर्ग,heaven
1980,नकाब,mask
1981,हैरानी की बात है,surprisingly
1982,एकाएक,abruptly
1983,शुरू कर दिया,begun
1984,ग्राहक,customer
1985,तकती,pad
1986,डिज़ाइन,design
1987,फ्लॉप,flop
1988,गर्व,pride
1989,हां,yep
1990,साक्षात्कार,interview
1991,पूरा करना,makeup
1992,धमाका,blast
1993,राजकुमार,prince
1994,रोडे,rode
1995,बुलबुला,bubble
1996,किराया,rent
1997,किशोर,teen
